model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
71,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.75, 0.73, 0.68, 0.72, 0.85, 0.73, 0.67, 0.72, 0.62, 0.78, 0.72, 0.72, 0.68, 0.75, 0.75, 0.73, 0.8, 0.72, 0.8, 0.77]",0.734,"[0.717, 0.733, 0.8, 0.717, 0.8, 0.733, 0.633, 0.717, 0.75, 0.783, 0.7, 0.85, 0.667, 0.767, 0.717, 0.683, 0.75, 0.7, 0.75, 0.733, 0.8, 0.7, 0.75, 0.8, 0.717, 0.733, 0.783, 0.683, 0.817, 0.75, 0.717, 0.667, 0.717, 0.617, 0.867, 0.767, 0.767, 0.75, 0.733, 0.733, 0.7, 0.733, 0.767, 0.733, 0.733, 0.65, 0.783, 0.65, 0.8, 0.767, 0.683, 0.717, 0.767, 0.683, 0.817, 0.667, 0.783, 0.683, 0.733, 0.633, 0.75, 0.683, 0.783, 0.8, 0.783, 0.683, 0.767, 0.717, 0.683, 0.633, 0.617, 0.75, 0.683, 0.75, 0.783, 0.683, 0.75, 0.733, 0.8, 0.817, 0.75, 0.65, 0.783, 0.733, 0.75, 0.75, 0.7, 0.717, 0.717, 0.733, 0.817, 0.7, 0.683, 0.8, 0.767, 0.75, 0.717, 0.75, 0.717, 0.733]",0.734
72,random_forest,"{'n_estimators': 220, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.75, 0.73, 0.67, 0.73, 0.82, 0.72, 0.67, 0.73, 0.63, 0.8, 0.73, 0.7, 0.68, 0.72, 0.75, 0.75, 0.8, 0.73, 0.78, 0.8]",0.734,"[0.683, 0.733, 0.817, 0.717, 0.767, 0.75, 0.667, 0.7, 0.75, 0.783, 0.7, 0.85, 0.683, 0.767, 0.717, 0.683, 0.733, 0.65, 0.733, 0.733, 0.8, 0.7, 0.717, 0.767, 0.733, 0.717, 0.8, 0.683, 0.767, 0.75, 0.683, 0.667, 0.717, 0.667, 0.833, 0.75, 0.783, 0.717, 0.75, 0.733, 0.733, 0.783, 0.767, 0.75, 0.75, 0.667, 0.783, 0.65, 0.8, 0.767, 0.717, 0.733, 0.717, 0.683, 0.817, 0.683, 0.8, 0.7, 0.767, 0.633, 0.733, 0.683, 0.767, 0.8, 0.783, 0.667, 0.783, 0.733, 0.717, 0.65, 0.6, 0.733, 0.7, 0.767, 0.8, 0.717, 0.8, 0.75, 0.783, 0.817, 0.75, 0.683, 0.8, 0.717, 0.8, 0.767, 0.717, 0.7, 0.733, 0.75, 0.8, 0.683, 0.667, 0.783, 0.783, 0.75, 0.717, 0.733, 0.717, 0.733]",0.736
73,random_forest,"{'n_estimators': 220, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.73, 0.77, 0.7, 0.72, 0.82, 0.72, 0.7, 0.73, 0.63, 0.8, 0.72, 0.72, 0.7, 0.73, 0.75, 0.75, 0.7, 0.73, 0.82, 0.75]",0.734,"[0.733, 0.7, 0.8, 0.717, 0.767, 0.733, 0.633, 0.667, 0.817, 0.817, 0.717, 0.817, 0.667, 0.733, 0.75, 0.683, 0.783, 0.733, 0.733, 0.717, 0.767, 0.717, 0.75, 0.767, 0.717, 0.7, 0.767, 0.667, 0.783, 0.733, 0.667, 0.667, 0.683, 0.65, 0.817, 0.783, 0.8, 0.733, 0.717, 0.667, 0.767, 0.75, 0.8, 0.717, 0.767, 0.65, 0.767, 0.667, 0.783, 0.75, 0.717, 0.7, 0.717, 0.7, 0.817, 0.717, 0.767, 0.717, 0.783, 0.65, 0.733, 0.633, 0.8, 0.833, 0.767, 0.733, 0.733, 0.783, 0.683, 0.683, 0.6, 0.767, 0.7, 0.733, 0.833, 0.733, 0.8, 0.783, 0.767, 0.817, 0.75, 0.65, 0.767, 0.767, 0.817, 0.75, 0.783, 0.683, 0.717, 0.7, 0.817, 0.717, 0.683, 0.783, 0.767, 0.733, 0.767, 0.767, 0.733, 0.733]",0.738
74,random_forest,"{'n_estimators': 215, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': None}","[0.77, 0.78, 0.72, 0.73, 0.75, 0.72, 0.65, 0.73, 0.6, 0.8, 0.72, 0.72, 0.72, 0.72, 0.75, 0.72, 0.77, 0.72, 0.82, 0.78]",0.734,"[0.717, 0.767, 0.85, 0.7, 0.783, 0.783, 0.667, 0.717, 0.767, 0.767, 0.7, 0.817, 0.7, 0.75, 0.717, 0.7, 0.767, 0.717, 0.75, 0.767, 0.783, 0.717, 0.767, 0.8, 0.783, 0.733, 0.783, 0.683, 0.817, 0.75, 0.75, 0.7, 0.733, 0.683, 0.833, 0.767, 0.767, 0.733, 0.783, 0.717, 0.717, 0.75, 0.783, 0.75, 0.817, 0.7, 0.783, 0.667, 0.783, 0.75, 0.667, 0.717, 0.733, 0.617, 0.8, 0.7, 0.8, 0.733, 0.733, 0.633, 0.733, 0.733, 0.783, 0.817, 0.783, 0.683, 0.767, 0.767, 0.7, 0.633, 0.667, 0.783, 0.717, 0.733, 0.767, 0.733, 0.783, 0.717, 0.8, 0.817, 0.733, 0.683, 0.817, 0.75, 0.767, 0.75, 0.85, 0.683, 0.733, 0.75, 0.783, 0.717, 0.733, 0.783, 0.767, 0.75, 0.75, 0.717, 0.733, 0.733]",0.745
75,random_forest,"{'n_estimators': 215, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.72, 0.73, 0.7, 0.7, 0.82, 0.72, 0.65, 0.67, 0.67, 0.82, 0.7, 0.73, 0.75, 0.75, 0.72, 0.77, 0.72, 0.73, 0.85, 0.77]",0.734,"[0.667, 0.683, 0.8, 0.717, 0.767, 0.733, 0.617, 0.7, 0.8, 0.783, 0.683, 0.75, 0.683, 0.75, 0.733, 0.65, 0.75, 0.717, 0.733, 0.733, 0.767, 0.717, 0.683, 0.75, 0.683, 0.7, 0.783, 0.65, 0.783, 0.75, 0.7, 0.683, 0.733, 0.683, 0.817, 0.817, 0.75, 0.733, 0.733, 0.7, 0.767, 0.733, 0.8, 0.767, 0.783, 0.65, 0.783, 0.65, 0.783, 0.75, 0.717, 0.7, 0.7, 0.733, 0.8, 0.717, 0.767, 0.683, 0.767, 0.633, 0.733, 0.65, 0.8, 0.8, 0.783, 0.733, 0.733, 0.733, 0.7, 0.683, 0.65, 0.8, 0.7, 0.683, 0.75, 0.7, 0.8, 0.767, 0.783, 0.85, 0.767, 0.65, 0.783, 0.767, 0.8, 0.783, 0.783, 0.683, 0.667, 0.75, 0.817, 0.733, 0.717, 0.767, 0.783, 0.75, 0.733, 0.767, 0.7, 0.733]",0.735
76,random_forest,"{'n_estimators': 205, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': None}","[0.77, 0.75, 0.72, 0.72, 0.78, 0.68, 0.68, 0.73, 0.6, 0.83, 0.75, 0.73, 0.72, 0.68, 0.77, 0.75, 0.73, 0.72, 0.8, 0.78]",0.734,"[0.717, 0.767, 0.85, 0.683, 0.783, 0.767, 0.667, 0.75, 0.767, 0.75, 0.7, 0.833, 0.717, 0.75, 0.733, 0.7, 0.75, 0.7, 0.733, 0.783, 0.783, 0.717, 0.767, 0.8, 0.767, 0.733, 0.783, 0.7, 0.817, 0.767, 0.733, 0.683, 0.75, 0.7, 0.8, 0.8, 0.767, 0.75, 0.733, 0.717, 0.7, 0.733, 0.767, 0.733, 0.817, 0.7, 0.8, 0.667, 0.783, 0.8, 0.683, 0.733, 0.717, 0.65, 0.783, 0.683, 0.8, 0.75, 0.767, 0.633, 0.75, 0.717, 0.783, 0.817, 0.767, 0.683, 0.767, 0.75, 0.683, 0.65, 0.617, 0.8, 0.7, 0.767, 0.8, 0.733, 0.783, 0.717, 0.75, 0.833, 0.75, 0.667, 0.783, 0.75, 0.767, 0.717, 0.817, 0.7, 0.717, 0.75, 0.8, 0.75, 0.733, 0.783, 0.783, 0.75, 0.75, 0.733, 0.7, 0.75]",0.745
77,random_forest,"{'n_estimators': 220, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.77, 0.75, 0.7, 0.75, 0.77, 0.72, 0.65, 0.73, 0.7, 0.8, 0.72, 0.7, 0.73, 0.7, 0.75, 0.73, 0.77, 0.73, 0.77, 0.75]",0.734,"[0.717, 0.7, 0.817, 0.683, 0.767, 0.75, 0.617, 0.75, 0.717, 0.817, 0.7, 0.8, 0.717, 0.767, 0.683, 0.7, 0.75, 0.733, 0.733, 0.733, 0.8, 0.7, 0.783, 0.783, 0.783, 0.75, 0.767, 0.683, 0.767, 0.733, 0.733, 0.733, 0.733, 0.667, 0.833, 0.767, 0.767, 0.767, 0.733, 0.733, 0.7, 0.733, 0.783, 0.75, 0.8, 0.65, 0.733, 0.683, 0.783, 0.783, 0.683, 0.717, 0.683, 0.667, 0.8, 0.7, 0.8, 0.733, 0.683, 0.633, 0.683, 0.683, 0.75, 0.8, 0.783, 0.683, 0.767, 0.717, 0.667, 0.633, 0.633, 0.8, 0.667, 0.767, 0.767, 0.717, 0.767, 0.683, 0.8, 0.833, 0.75, 0.65, 0.8, 0.717, 0.75, 0.75, 0.717, 0.65, 0.717, 0.717, 0.833, 0.733, 0.7, 0.783, 0.8, 0.75, 0.75, 0.717, 0.7, 0.733]",0.735
78,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.72, 0.77, 0.7, 0.72, 0.82, 0.72, 0.68, 0.73, 0.65, 0.8, 0.75, 0.72, 0.72, 0.7, 0.72, 0.75, 0.72, 0.7, 0.82, 0.78]",0.734,"[0.717, 0.7, 0.817, 0.7, 0.75, 0.717, 0.65, 0.717, 0.817, 0.8, 0.7, 0.817, 0.733, 0.767, 0.733, 0.65, 0.75, 0.7, 0.767, 0.7, 0.767, 0.717, 0.7, 0.717, 0.7, 0.733, 0.783, 0.65, 0.783, 0.717, 0.683, 0.683, 0.683, 0.633, 0.817, 0.783, 0.75, 0.717, 0.717, 0.7, 0.783, 0.75, 0.8, 0.733, 0.767, 0.667, 0.767, 0.667, 0.733, 0.75, 0.7, 0.733, 0.75, 0.717, 0.833, 0.717, 0.75, 0.683, 0.783, 0.65, 0.717, 0.667, 0.767, 0.833, 0.767, 0.7, 0.75, 0.733, 0.683, 0.683, 0.617, 0.733, 0.683, 0.7, 0.817, 0.717, 0.8, 0.8, 0.767, 0.817, 0.733, 0.633, 0.783, 0.783, 0.783, 0.8, 0.767, 0.683, 0.717, 0.717, 0.867, 0.683, 0.7, 0.767, 0.8, 0.767, 0.767, 0.733, 0.717, 0.733]",0.735
79,random_forest,"{'n_estimators': 215, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.75, 0.75, 0.68, 0.73, 0.82, 0.73, 0.67, 0.73, 0.63, 0.78, 0.72, 0.73, 0.7, 0.73, 0.75, 0.77, 0.7, 0.72, 0.82, 0.78]",0.734,"[0.733, 0.7, 0.817, 0.717, 0.767, 0.733, 0.633, 0.683, 0.817, 0.8, 0.683, 0.767, 0.667, 0.733, 0.75, 0.65, 0.783, 0.717, 0.767, 0.717, 0.75, 0.7, 0.75, 0.767, 0.667, 0.7, 0.783, 0.667, 0.783, 0.733, 0.683, 0.667, 0.717, 0.65, 0.85, 0.8, 0.75, 0.733, 0.717, 0.717, 0.75, 0.733, 0.833, 0.717, 0.767, 0.683, 0.767, 0.667, 0.817, 0.75, 0.667, 0.733, 0.75, 0.7, 0.817, 0.717, 0.75, 0.683, 0.8, 0.65, 0.75, 0.667, 0.8, 0.817, 0.783, 0.733, 0.733, 0.767, 0.717, 0.683, 0.6, 0.733, 0.717, 0.733, 0.817, 0.75, 0.767, 0.783, 0.767, 0.833, 0.767, 0.65, 0.767, 0.767, 0.783, 0.767, 0.75, 0.683, 0.7, 0.733, 0.867, 0.733, 0.717, 0.783, 0.767, 0.767, 0.767, 0.75, 0.733, 0.733]",0.739
80,random_forest,"{'n_estimators': 220, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': None}","[0.77, 0.78, 0.68, 0.72, 0.78, 0.7, 0.67, 0.72, 0.65, 0.8, 0.72, 0.73, 0.7, 0.75, 0.75, 0.72, 0.78, 0.72, 0.77, 0.78]",0.734,"[0.7, 0.733, 0.8, 0.717, 0.8, 0.717, 0.65, 0.717, 0.767, 0.767, 0.7, 0.85, 0.683, 0.783, 0.733, 0.717, 0.767, 0.733, 0.75, 0.733, 0.783, 0.7, 0.717, 0.8, 0.75, 0.717, 0.8, 0.65, 0.817, 0.767, 0.683, 0.7, 0.717, 0.683, 0.85, 0.8, 0.75, 0.733, 0.733, 0.717, 0.733, 0.75, 0.767, 0.7, 0.783, 0.683, 0.783, 0.65, 0.783, 0.8, 0.683, 0.717, 0.767, 0.667, 0.8, 0.683, 0.8, 0.75, 0.783, 0.633, 0.733, 0.7, 0.767, 0.8, 0.8, 0.683, 0.783, 0.717, 0.683, 0.667, 0.617, 0.783, 0.75, 0.767, 0.8, 0.733, 0.783, 0.75, 0.8, 0.817, 0.75, 0.667, 0.8, 0.767, 0.783, 0.733, 0.717, 0.683, 0.7, 0.733, 0.8, 0.7, 0.683, 0.8, 0.75, 0.75, 0.75, 0.717, 0.7, 0.733]",0.74
81,random_forest,"{'n_estimators': 210, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': None}","[0.75, 0.75, 0.7, 0.72, 0.8, 0.72, 0.65, 0.73, 0.63, 0.8, 0.72, 0.75, 0.72, 0.7, 0.77, 0.73, 0.75, 0.75, 0.78, 0.77]",0.734,"[0.717, 0.767, 0.833, 0.717, 0.75, 0.717, 0.7, 0.75, 0.75, 0.8, 0.7, 0.8, 0.667, 0.767, 0.733, 0.683, 0.733, 0.7, 0.7, 0.733, 0.8, 0.717, 0.717, 0.783, 0.733, 0.717, 0.783, 0.667, 0.817, 0.717, 0.683, 0.65, 0.75, 0.667, 0.817, 0.8, 0.767, 0.717, 0.733, 0.7, 0.733, 0.733, 0.767, 0.733, 0.783, 0.683, 0.783, 0.65, 0.817, 0.833, 0.717, 0.717, 0.75, 0.667, 0.8, 0.683, 0.8, 0.767, 0.767, 0.633, 0.733, 0.7, 0.767, 0.817, 0.783, 0.667, 0.767, 0.733, 0.7, 0.667, 0.617, 0.733, 0.733, 0.75, 0.833, 0.733, 0.767, 0.75, 0.8, 0.817, 0.733, 0.667, 0.8, 0.767, 0.8, 0.733, 0.717, 0.717, 0.717, 0.767, 0.8, 0.717, 0.7, 0.783, 0.767, 0.75, 0.733, 0.75, 0.683, 0.733]",0.74
82,random_forest,"{'n_estimators': 220, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.72, 0.77, 0.72, 0.7, 0.82, 0.7, 0.67, 0.72, 0.65, 0.83, 0.72, 0.72, 0.75, 0.7, 0.75, 0.72, 0.7, 0.72, 0.83, 0.78]",0.734,"[0.733, 0.733, 0.767, 0.717, 0.767, 0.733, 0.617, 0.717, 0.817, 0.8, 0.683, 0.833, 0.7, 0.733, 0.733, 0.667, 0.75, 0.717, 0.767, 0.7, 0.783, 0.717, 0.717, 0.767, 0.75, 0.733, 0.833, 0.65, 0.75, 0.75, 0.683, 0.683, 0.717, 0.667, 0.8, 0.817, 0.783, 0.717, 0.717, 0.7, 0.75, 0.733, 0.783, 0.7, 0.783, 0.65, 0.783, 0.667, 0.767, 0.75, 0.7, 0.7, 0.717, 0.667, 0.833, 0.717, 0.767, 0.7, 0.783, 0.633, 0.75, 0.667, 0.767, 0.8, 0.767, 0.733, 0.733, 0.733, 0.683, 0.667, 0.617, 0.783, 0.717, 0.75, 0.833, 0.75, 0.8, 0.783, 0.783, 0.817, 0.717, 0.65, 0.783, 0.783, 0.817, 0.783, 0.783, 0.667, 0.717, 0.75, 0.833, 0.733, 0.733, 0.767, 0.783, 0.767, 0.783, 0.733, 0.733, 0.733]",0.74
83,random_forest,"{'n_estimators': 205, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.77, 0.75, 0.7, 0.73, 0.8, 0.7, 0.67, 0.73, 0.63, 0.8, 0.73, 0.72, 0.73, 0.73, 0.73, 0.75, 0.78, 0.75, 0.75, 0.73]",0.734,"[0.733, 0.7, 0.833, 0.683, 0.767, 0.733, 0.633, 0.75, 0.717, 0.833, 0.717, 0.8, 0.733, 0.783, 0.7, 0.683, 0.767, 0.7, 0.767, 0.75, 0.8, 0.683, 0.75, 0.8, 0.733, 0.717, 0.733, 0.7, 0.817, 0.7, 0.7, 0.717, 0.717, 0.683, 0.783, 0.783, 0.75, 0.717, 0.75, 0.733, 0.667, 0.75, 0.783, 0.733, 0.767, 0.667, 0.733, 0.65, 0.783, 0.767, 0.717, 0.717, 0.717, 0.7, 0.8, 0.683, 0.8, 0.733, 0.7, 0.633, 0.717, 0.667, 0.8, 0.8, 0.817, 0.717, 0.767, 0.717, 0.683, 0.633, 0.633, 0.767, 0.717, 0.767, 0.783, 0.7, 0.75, 0.717, 0.8, 0.833, 0.75, 0.65, 0.8, 0.75, 0.767, 0.75, 0.767, 0.65, 0.717, 0.783, 0.817, 0.7, 0.667, 0.783, 0.783, 0.75, 0.733, 0.733, 0.733, 0.75]",0.737
84,random_forest,"{'n_estimators': 220, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.78, 0.75, 0.7, 0.75, 0.78, 0.7, 0.65, 0.7, 0.63, 0.83, 0.7, 0.72, 0.72, 0.72, 0.75, 0.75, 0.77, 0.72, 0.78, 0.78]",0.734,"[0.7, 0.7, 0.833, 0.717, 0.767, 0.717, 0.65, 0.767, 0.767, 0.817, 0.7, 0.85, 0.733, 0.767, 0.717, 0.7, 0.733, 0.7, 0.75, 0.767, 0.783, 0.7, 0.75, 0.783, 0.7, 0.7, 0.75, 0.717, 0.8, 0.7, 0.75, 0.683, 0.717, 0.617, 0.817, 0.8, 0.75, 0.717, 0.783, 0.75, 0.717, 0.75, 0.767, 0.75, 0.75, 0.65, 0.683, 0.633, 0.783, 0.75, 0.7, 0.717, 0.7, 0.667, 0.8, 0.683, 0.783, 0.733, 0.683, 0.633, 0.717, 0.683, 0.75, 0.783, 0.833, 0.7, 0.767, 0.7, 0.667, 0.667, 0.633, 0.767, 0.7, 0.75, 0.783, 0.7, 0.733, 0.683, 0.817, 0.833, 0.75, 0.65, 0.8, 0.717, 0.75, 0.767, 0.75, 0.6, 0.733, 0.767, 0.817, 0.7, 0.683, 0.783, 0.817, 0.767, 0.733, 0.683, 0.733, 0.717]",0.733
85,random_forest,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.75, 0.77, 0.68, 0.72, 0.82, 0.7, 0.67, 0.72, 0.63, 0.8, 0.7, 0.72, 0.7, 0.73, 0.73, 0.75, 0.82, 0.72, 0.8, 0.75]",0.734,"[0.717, 0.733, 0.817, 0.683, 0.767, 0.733, 0.7, 0.717, 0.733, 0.817, 0.683, 0.85, 0.65, 0.75, 0.717, 0.667, 0.75, 0.7, 0.733, 0.733, 0.783, 0.667, 0.717, 0.8, 0.717, 0.7, 0.783, 0.667, 0.8, 0.733, 0.7, 0.683, 0.717, 0.683, 0.833, 0.767, 0.767, 0.733, 0.733, 0.733, 0.733, 0.75, 0.767, 0.75, 0.733, 0.667, 0.75, 0.65, 0.767, 0.783, 0.683, 0.717, 0.75, 0.683, 0.817, 0.667, 0.783, 0.717, 0.75, 0.633, 0.733, 0.683, 0.75, 0.8, 0.783, 0.7, 0.783, 0.717, 0.683, 0.65, 0.583, 0.75, 0.717, 0.75, 0.783, 0.7, 0.767, 0.733, 0.817, 0.817, 0.767, 0.667, 0.8, 0.733, 0.783, 0.75, 0.767, 0.683, 0.717, 0.783, 0.8, 0.7, 0.7, 0.783, 0.8, 0.75, 0.733, 0.75, 0.683, 0.733]",0.735
86,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.73, 0.77, 0.7, 0.72, 0.78, 0.72, 0.65, 0.75, 0.63, 0.8, 0.73, 0.72, 0.68, 0.72, 0.77, 0.73, 0.73, 0.7, 0.88, 0.77]",0.734,"[0.733, 0.717, 0.817, 0.717, 0.767, 0.717, 0.633, 0.683, 0.783, 0.8, 0.7, 0.817, 0.717, 0.75, 0.75, 0.683, 0.75, 0.717, 0.75, 0.717, 0.8, 0.683, 0.767, 0.767, 0.7, 0.75, 0.8, 0.7, 0.767, 0.75, 0.7, 0.65, 0.717, 0.65, 0.817, 0.767, 0.75, 0.75, 0.733, 0.7, 0.75, 0.733, 0.783, 0.75, 0.767, 0.65, 0.783, 0.667, 0.8, 0.75, 0.717, 0.683, 0.75, 0.7, 0.817, 0.733, 0.75, 0.683, 0.8, 0.65, 0.733, 0.65, 0.733, 0.8, 0.783, 0.717, 0.767, 0.717, 0.7, 0.683, 0.617, 0.767, 0.733, 0.767, 0.817, 0.733, 0.783, 0.767, 0.767, 0.833, 0.767, 0.65, 0.767, 0.717, 0.817, 0.767, 0.75, 0.683, 0.7, 0.733, 0.85, 0.717, 0.717, 0.783, 0.783, 0.75, 0.75, 0.733, 0.733, 0.717]",0.739
87,random_forest,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.77, 0.75, 0.68, 0.73, 0.8, 0.73, 0.68, 0.72, 0.63, 0.8, 0.72, 0.73, 0.72, 0.73, 0.75, 0.72, 0.77, 0.7, 0.8, 0.75]",0.734,"[0.717, 0.733, 0.833, 0.733, 0.817, 0.733, 0.667, 0.717, 0.75, 0.75, 0.717, 0.833, 0.683, 0.75, 0.75, 0.7, 0.767, 0.7, 0.717, 0.733, 0.783, 0.717, 0.75, 0.783, 0.75, 0.717, 0.783, 0.667, 0.767, 0.75, 0.717, 0.683, 0.7, 0.667, 0.833, 0.783, 0.75, 0.733, 0.733, 0.683, 0.767, 0.75, 0.783, 0.75, 0.75, 0.7, 0.8, 0.667, 0.8, 0.767, 0.717, 0.733, 0.767, 0.683, 0.833, 0.683, 0.783, 0.75, 0.783, 0.633, 0.75, 0.683, 0.767, 0.783, 0.783, 0.683, 0.767, 0.717, 0.717, 0.65, 0.6, 0.767, 0.733, 0.717, 0.8, 0.733, 0.767, 0.75, 0.8, 0.817, 0.733, 0.667, 0.833, 0.75, 0.783, 0.733, 0.75, 0.717, 0.75, 0.767, 0.8, 0.7, 0.7, 0.783, 0.767, 0.75, 0.733, 0.767, 0.717, 0.733]",0.742
88,random_forest,"{'n_estimators': 215, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': None}","[0.77, 0.77, 0.7, 0.72, 0.78, 0.73, 0.67, 0.75, 0.62, 0.8, 0.72, 0.75, 0.7, 0.72, 0.75, 0.75, 0.73, 0.72, 0.78, 0.75]",0.734,"[0.7, 0.75, 0.817, 0.733, 0.767, 0.75, 0.667, 0.7, 0.767, 0.783, 0.7, 0.833, 0.667, 0.767, 0.733, 0.7, 0.75, 0.7, 0.717, 0.733, 0.75, 0.7, 0.717, 0.8, 0.767, 0.7, 0.767, 0.65, 0.817, 0.75, 0.683, 0.683, 0.733, 0.667, 0.833, 0.783, 0.75, 0.733, 0.75, 0.7, 0.717, 0.733, 0.75, 0.75, 0.8, 0.683, 0.783, 0.65, 0.8, 0.767, 0.7, 0.717, 0.767, 0.667, 0.8, 0.683, 0.8, 0.733, 0.733, 0.633, 0.717, 0.683, 0.767, 0.8, 0.783, 0.7, 0.783, 0.7, 0.683, 0.633, 0.617, 0.767, 0.733, 0.733, 0.817, 0.733, 0.8, 0.733, 0.8, 0.817, 0.733, 0.667, 0.8, 0.733, 0.783, 0.767, 0.733, 0.7, 0.7, 0.733, 0.8, 0.733, 0.683, 0.783, 0.783, 0.75, 0.7, 0.733, 0.717, 0.733]",0.737
89,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.72, 0.78, 0.7, 0.72, 0.78, 0.7, 0.63, 0.72, 0.62, 0.8, 0.73, 0.72, 0.73, 0.73, 0.8, 0.77, 0.7, 0.73, 0.83, 0.77]",0.734,"[0.7, 0.717, 0.783, 0.717, 0.767, 0.7, 0.65, 0.7, 0.8, 0.783, 0.683, 0.817, 0.7, 0.733, 0.733, 0.683, 0.767, 0.767, 0.75, 0.717, 0.783, 0.7, 0.733, 0.767, 0.717, 0.75, 0.8, 0.65, 0.8, 0.733, 0.683, 0.65, 0.733, 0.667, 0.833, 0.783, 0.767, 0.683, 0.733, 0.7, 0.733, 0.733, 0.783, 0.717, 0.767, 0.633, 0.783, 0.667, 0.767, 0.767, 0.733, 0.7, 0.717, 0.733, 0.8, 0.7, 0.783, 0.7, 0.8, 0.65, 0.75, 0.633, 0.8, 0.833, 0.767, 0.717, 0.7, 0.75, 0.683, 0.667, 0.6, 0.75, 0.717, 0.683, 0.8, 0.733, 0.8, 0.767, 0.783, 0.817, 0.733, 0.65, 0.767, 0.767, 0.8, 0.767, 0.783, 0.683, 0.717, 0.733, 0.817, 0.767, 0.733, 0.783, 0.767, 0.767, 0.733, 0.75, 0.75, 0.733]",0.737
90,random_forest,"{'n_estimators': 215, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': None}","[0.75, 0.77, 0.72, 0.7, 0.77, 0.72, 0.65, 0.73, 0.62, 0.82, 0.73, 0.73, 0.72, 0.7, 0.73, 0.73, 0.77, 0.72, 0.82, 0.78]",0.734,"[]",-
91,random_forest,"{'n_estimators': 220, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': None}","[0.75, 0.77, 0.72, 0.7, 0.82, 0.73, 0.63, 0.72, 0.63, 0.8, 0.73, 0.73, 0.67, 0.75, 0.75, 0.73, 0.77, 0.72, 0.78, 0.78]",0.734,"[]",-
92,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': None}","[0.77, 0.73, 0.72, 0.7, 0.77, 0.72, 0.67, 0.75, 0.57, 0.8, 0.73, 0.72, 0.72, 0.7, 0.75, 0.75, 0.78, 0.73, 0.82, 0.78]",0.734,"[]",-
